"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean","max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","Di","Ui","iucn_code","threats"
"Atractoscion_aequidens",1199.2463,"Atractoscion_aequidens_A_2","NO",1,1,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","Atractoscion aequidens",16.2805360589067,29.5340719259241,15.4644516856942,1226.2297,0.821770629705083,0.703703703703704,0.767498781977804,0.717433014325446,"higher carnivore","benthic","night","rock",0.659531127026435,0.0653847978596841,"NT","nthr"
"Atrosalarias_holomelas",1284.4121,"Atrosalarias_holomelas_A_4","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Atrosalarias","Atrosalarias holomelas",8.9257356492163,16.5074816340905,6.11043911858324,1220.28,0.335755956632923,0.37037037037037,0.906152585029217,0.911774215743148,"browsing herbivore","benthic","day","coral",0.525135704445628,0.0316670258267055,"LC","nthr"
"Atule_mate",1226.9922,"Atule_mate_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Atule","Atule mate",17.3104637151216,22.9089774462009,6.15114790519406,1257.8054,0.543924469105433,0.925925925925926,0.834170002998248,0.903901281931953,"higher carnivore","pelagic non-site attached","day","water column",0.624509495142237,0.0420972435414824,"LC","nthr"
"Atypichthys_latus",1567.704,"Atypichthys_latus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Atypichthys","Atypichthys latus",5.24258995001929,12.7784791898811,7.98258495252893,1567.704,0.543924469105433,0.555555555555555,0.74946163460125,0.744599626523142,"benthic invertivore","pelagic site attached","day","coral",0.507009389963104,0.0397269945833694,"NE","nev"
"Atypichthys_strigatus",1565.426,"Atypichthys_strigatus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Atypichthys","Atypichthys strigatus",6.64594128893926,13.9411679605746,9.91766351781171,1547.5784,0.509377606976772,0.518518518518518,0.698140129603794,0.733063334403039,"planktivore","pelagic site attached","day","rock",0.593035226901135,0.0254599792339798,"NE","nev"
"Aulacocephalus_temminckii",1642.093,"Aulacocephalus_temminckii_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Aulacocephalus","Aulacocephalus temminckii",47.6782266635459,58.4374055241063,23.3683218612774,1694.1913,0.598435373184158,0.740740740740741,0.757470425078133,0.726867268117824,"higher carnivore","demersal","day","coral",0.480881647616684,0.075537487327589,"LC","nthr"
"Aulorhynchus_flavidus",1355.2527,"Aulorhynchus_flavidus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","Aulorhynchus flavidus",20.1909212782204,34.8772063842528,19.0057798497731,1415.0645,0.447131622958476,0.518518518518518,0.475009027031816,0.591168147500829,"planktivore","demersal","day","rock",0.548207538877933,0.0664692631617252,"LC","nthr"
"Austrolabrus_maculatus",1408.3899,"Austrolabrus_maculatus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Austrolabrus","Austrolabrus maculatus",9.99744198694772,16.5475011706186,6.79337925416813,1366.96275,0.436301066895085,0.518518518518518,0.684228948360167,0.732799229133741,"benthic invertivore","demersal","day","rock",0.476561966468234,0.0110393257110777,"LC","nthr"
"Axoclinus_cocoensis",1331.5393,"Axoclinus_cocoensis_M_1","YES",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Tripterygiidae","Axoclinus","Axoclinus cocoensis",8.39933223979218,16.5012555760688,6.63181859784054,1478.7687,0.136832357951385,0.296296296296296,0.944962640669109,0.889056473486968,"benthic invertivore","benthic","day","coral",0.492112968770571,0.0184883408479715,"VU","thr"
"Axoclinus_lucillae",1466.4539,"Axoclinus_lucillae_F_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Tripterygiidae","Axoclinus","Axoclinus lucillae",6.63169949371717,15.1730370032695,4.00967737488383,1489.8441,0.107623402210348,0.259259259259259,0.903648766908909,0.900438045999747,"benthic invertivore","benthic","day","coral",0.496093234185931,0.0210422332329347,"LC","nthr"
