"sp_name","Importance"
"Bodianus_rufus","minor commercial"
"Bodianus_scrofa","minor commercial"
"Bodianus_unimaculatus",NA
"Bolbometopon_muricatum","commercial"
"Boops_boops","highly commercial"
"Boopsoidea_inornata","minor commercial"
"Boreogadus_saida","highly commercial"
"Bothragonus_occidentalis",NA
"Bovichtus_angustifrons",NA
"Bovichtus_argentinus",NA
"Brachaluteres_jacksonianus",NA
"Brachionichthys_hirsutus",NA
"Brachyistius_frenatus",NA
"Bryaninops_amplus",NA
"Bryaninops_erythrops",NA
"Bryaninops_natans",NA
"Bryaninops_nexus",NA
"Bryaninops_yongei",NA
"Caesio_caerulaurea","commercial"
"Caesio_cuning","commercial"
"Caesio_lunaris","minor commercial"
"Caesio_striata","subsistence fisheries"
"Caesio_suevica","subsistence fisheries"
"Caesio_teres","minor commercial"
"Caesio_varilineata","minor commercial"
"Caesio_xanthonota","minor commercial"
"Caesioperca_lepidoptera",NA
"Caesioperca_rasor","commercial"
"Caesioscorpis_theagenes",NA
"Caffrogobius_nudiceps","of no interest"
"Calamus_bajonado","minor commercial"
"Calamus_brachysomus","commercial"
"Calamus_calamus","minor commercial"
"Calamus_pennatula","commercial"
"Calamus_taurinus","commercial"
"Callanthias_australis",NA
"Calliclinus_geniguttatus",NA
"Callionymus_comptus",NA
"Callionymus_lyra","minor commercial"
"Calloplesiops_altivelis",NA
"Calotomus_carolinus","commercial"
"Calotomus_japonicus","commercial"
"Calotomus_spinidens","commercial"
"Calotomus_viridescens","minor commercial"
"Cantherhines_dumerilii",NA
"Cantherhines_fronticinctus",NA
"Cantherhines_longicaudus",NA
"Cantherhines_macrocerus",NA
"Cantherhines_pardalis","minor commercial"
"Cantherhines_pullus","subsistence fisheries"
"Cantherhines_sandwichiensis",NA
"Cantheschenia_grandisquamis",NA
"Canthidermis_maculata","commercial"
"Canthidermis_sufflamen","commercial"
"Canthigaster_amboinensis","of no interest"
"Canthigaster_axiologus",NA
"Canthigaster_bennetti",NA
"Canthigaster_callisterna",NA
"Canthigaster_capistrata",NA
"Canthigaster_coronata",NA
"Canthigaster_cyanetron",NA
"Canthigaster_epilampra",NA
"Canthigaster_figueiredoi",NA
"Canthigaster_jactator",NA
"Canthigaster_janthinoptera",NA
"Canthigaster_marquesensis",NA
"Canthigaster_papua",NA
"Canthigaster_punctatissima",NA
"Canthigaster_rapaensis",NA
"Canthigaster_rivulata","of no interest"
"Canthigaster_rostrata",NA
"Canthigaster_sanctaehelenae",NA
"Canthigaster_smithae",NA
"Canthigaster_valentini",NA
"Caprodon_longimanus",NA
"Caracanthus_maculatus",NA
"Caracanthus_typicus",NA
"Caracanthus_unipinna",NA
"Carangoides_bajad","commercial"
"Carangoides_bartholomaei","commercial"
"Carangoides_chrysophrys","commercial"
"Carangoides_ferdau","commercial"
"Carangoides_fulvoguttatus","commercial"
"Carangoides_gymnostethus","commercial"
"Carangoides_orthogrammus","commercial"
"Carangoides_plagiotaenia","minor commercial"
"Caranx_caballus","commercial"
"Caranx_caninus","commercial"
"Caranx_crysos","minor commercial"
"Caranx_ignobilis","commercial"
"Caranx_lugubris","minor commercial"
"Caranx_melampygus","commercial"
"Caranx_papuensis","minor commercial"
"Caranx_sexfasciatus","commercial"
"Caulolatilus_princeps","commercial"
"Centroberyx_affinis","commercial"
"Centroberyx_gerrardi","commercial"
"Centroberyx_lineatus","minor commercial"
"Centrogenys_vaigiensis","minor commercial"
"Centrolabrus_exoletus","of no interest"
"Centrolabrus_melanocercus",NA
"Centropogon_australis",NA
"Centropyge_acanthops","of no interest"
"Centropyge_argi",NA
"Centropyge_bicolor","subsistence fisheries"
"Centropyge_bispinosa","subsistence fisheries"
"Centropyge_eibli",NA
"Centropyge_ferrugata",NA
"Centropyge_fisheri",NA
"Centropyge_flavissima","subsistence fisheries"
"Centropyge_heraldi",NA
"Centropyge_hotumatua",NA
"Centropyge_joculator",NA
"Centropyge_loriculus",NA
"Centropyge_multispinis",NA
"Centropyge_nox",NA
"Centropyge_tibicen",NA
"Cephalopholis_argus","commercial"
"Cephalopholis_boenak","subsistence fisheries"
"Cephalopholis_cruentata","minor commercial"
"Cephalopholis_cyanostigma","minor commercial"
"Cephalopholis_formosa","subsistence fisheries"
"Cephalopholis_fulva","commercial"
"Cephalopholis_hemistiktos","subsistence fisheries"
"Cephalopholis_leopardus","minor commercial"
"Cephalopholis_microprion","minor commercial"
"Cephalopholis_miniata","commercial"
"Cephalopholis_panamensis",NA
"Cephalopholis_sexmaculata","subsistence fisheries"
"Cephalopholis_sonnerati","commercial"
"Cephalopholis_spiloparaea","minor commercial"
"Cephalopholis_urodeta","subsistence fisheries"
"Cetoscarus_bicolor","commercial"
"Chaenopsis_schmitti",NA
"Chaetodermis_penicilligerus",NA
"Chaetodipterus_faber","minor commercial"
"Chaetodipterus_zonatus",NA
"Chaetodon_adiergastos",NA
"Chaetodon_andamanensis",NA
"Chaetodon_argentatus","minor commercial"
"Chaetodon_assarius",NA
"Chaetodon_aureofasciatus",NA
"Chaetodon_auriga","minor commercial"
"Chaetodon_auripes",NA
"Chaetodon_austriacus",NA
"Chaetodon_baronessa",NA
"Chaetodon_bennetti","minor commercial"
"Chaetodon_capistratus",NA
"Chaetodon_citrinellus","minor commercial"
"Chaetodon_collare",NA
"Chaetodon_decussatus",NA
"Chaetodon_dolosus","of no interest"
"Chaetodon_ephippium","minor commercial"
"Chaetodon_falcula",NA
"Chaetodon_fasciatus",NA
"Chaetodon_flavirostris",NA
"Chaetodon_guentheri",NA
"Chaetodon_guttatissimus",NA
"Chaetodon_humeralis",NA
"Chaetodon_interruptus",NA
"Chaetodon_kleinii","subsistence fisheries"
"Chaetodon_lineolatus","minor commercial"
"Chaetodon_litus",NA
"Chaetodon_lunula","minor commercial"
"Chaetodon_lunulatus",NA
"Chaetodon_madagaskariensis",NA
"Chaetodon_marleyi",NA
"Chaetodon_melannotus",NA
"Chaetodon_mertensii","minor commercial"
"Chaetodon_meyeri","minor commercial"
"Chaetodon_miliaris",NA
"Chaetodon_multicinctus",NA
"Chaetodon_ocellatus",NA
"Chaetodon_ocellicaudus",NA
