"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean"
"Acanthurus_bahianus",1804.743,"Acanthurus_bahianus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus bahianus",2.36498371774216,6.97436676476448,2.19983430414566,1804.743
"Acanthurus_bariene",1639.583,"Acanthurus_bariene_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus bariene",2.8710414642032,7.20448809768978,1.11387498398737,1613.46346666667
"Acanthurus_blochii",1682.147,"Acanthurus_blochii_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus blochii",2.47923358293299,6.71049341251429,1.13066780618424,1682.147
"Acanthurus_chirurgus",1530.2114,"Acanthurus_chirurgus_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus chirurgus",3.07458304208088,7.77137503224351,2.69405143988232,1600.3994
"Acanthurus_chronixis",1493.023,"Acanthurus_chronixis_A_1","NO",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus chronixis",4.09989504127166,9.06209146878239,1.96558595879222,1522.3783
"Acanthurus_coeruleus",1808.11,"Acanthurus_coeruleus_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus coeruleus",7.58909616144857,12.322258557003,2.93461171154445,1678.77533333333
"Acanthurus_dussumieri",1591.272,"Acanthurus_dussumieri_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus dussumieri",3.3153315793031,7.35675901538253,1.00848267049383,1643.1941
"Acanthurus_fowleri",1586.1997,"Acanthurus_fowleri_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus fowleri",5.32834924107894,9.90288313372938,3.31619504324199,1643.8999
"Acanthurus_gahhm",1459.8541,"Acanthurus_gahhm_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus gahhm",3.47061747890535,7.6091360564082,1.31518392220047,1501.869
"Acanthurus_grammoptilus",1640.4786,"Acanthurus_grammoptilus_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus grammoptilus",5.59355454616273,9.56868207815453,5.31711338725357,1517.77303333333
"Acanthurus_guttatus",1604.0798,"Acanthurus_guttatus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus guttatus",7.12061770566757,11.8474442862056,3.0725498578695,1715.87305
"Acanthurus_leucocheilus",1572.432,"Acanthurus_leucocheilus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus leucocheilus",3.89656298882008,8.80782557591004,1.99635591798354,1572.432
