"name","kingdom","phylum","class","order","family","genus","species"
"Acanthurus_triostegus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus triostegus"
"Acanthurus_tristis","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus tristis"
"Acanthurus_xanthopterus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus"
"Achoerodus_gouldii","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Achoerodus","Achoerodus gouldii"
"Achoerodus_viridis","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Achoerodus","Achoerodus viridis"
"Aetapcus_maculatus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Pataecidae","Aetapcus","Aetapcus maculatus"
"Aethaloperca_rogaa","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Aethaloperca","Aethaloperca rogaa"
"Afurcagobius_tamarensis","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Afurcagobius","Afurcagobius tamarensis"
"Aioliops_brachypterus","Animalia","Chordata","Actinopterygii","Perciformes","Microdesmidae","Aioliops","Aioliops brachypterus"
"Aioliops_novaeguineae","Animalia","Chordata","Actinopterygii","Perciformes","Microdesmidae","Aioliops","Aioliops novaeguineae"
"Albula_glossodonta","Animalia","Chordata","Actinopterygii","Albuliformes","Albulidae","Albula","Albula glossodonta"
"Alectis_ciliaris","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Alectis","Alectis ciliaris"
"Alloclinus_holderi","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","Alloclinus holderi"
"Allomycterus_pilatus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Diodontidae","Allomycterus","Allomycterus pilatus"
"Alphestes_immaculatus","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Alphestes","Alphestes immaculatus"
"Altrichthys_azurelineatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Altrichthys","Altrichthys azurelineatus"
"Altrichthys_curatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Altrichthys","Altrichthys curatus"
"Aluterus_scriptus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus scriptus"
"Amanses_scopas","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Amanses","Amanses scopas"
"Ambassis_jacksoniensis","Animalia","Chordata","Actinopterygii","Perciformes","Ambassidae","Ambassis","Ambassis jacksoniensis"
"Amblycirrhitus_bimacula","Animalia","Chordata","Actinopterygii","Perciformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus bimacula"
"Amblycirrhitus_earnshawi","Animalia","Chordata","Actinopterygii","Perciformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus earnshawi"
"Amblycirrhitus_pinos","Animalia","Chordata","Actinopterygii","Perciformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus pinos"
"Amblyeleotris_fasciata","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris fasciata"
"Amblyeleotris_guttata","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris guttata"
"Amblyeleotris_gymnocephala","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris gymnocephala"
"Amblyeleotris_japonica","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris japonica"
"Amblyeleotris_periophthalma","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris periophthalma"
"Amblyeleotris_steinitzi","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris steinitzi"
"Amblyeleotris_sungami","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris sungami"
"Amblyeleotris_wheeleri","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris wheeleri"
"Amblyglyphidodon_aureus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon aureus"
"Amblyglyphidodon_batunai","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon batunai"
"Amblyglyphidodon_curacao","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon curacao"
"Amblyglyphidodon_flavilatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon flavilatus"
"Amblyglyphidodon_indicus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon indicus"
"Amblyglyphidodon_leucogaster","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon leucogaster"
"Amblyglyphidodon_melanopterus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon melanopterus"
"Amblyglyphidodon_orbicularis","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon orbicularis"
"Amblyglyphidodon_ternatensis","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon ternatensis"
"Amblygobius_buanensis","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblygobius","Amblygobius buanensis"
"Amblygobius_bynoensis","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblygobius","Amblygobius bynoensis"
"Amblygobius_decussatus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblygobius","Amblygobius decussatus"
"Amblygobius_nocturnus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblygobius","Amblygobius nocturnus"
"Amblygobius_phalaena","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblygobius","Amblygobius phalaena"
"Amblyrhynchotes_honckenii","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Amblyrhynchotes","Amblyrhynchotes honckenii"
"Ammodytes_tobianus","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus"
"Amphichaetodon_howensis","Animalia","Chordata","Actinopterygii","Perciformes","Chaetodontidae","Amphichaetodon","Amphichaetodon howensis"
"Amphichthys_cryptocentrus","Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Amphichthys","Amphichthys cryptocentrus"
"Amphiprion_akallopisos","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion akallopisos"
"Amphiprion_akindynos","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion akindynos"
"Amphiprion_allardi","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion allardi"
"Amphiprion_bicinctus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion bicinctus"
"Amphiprion_chrysopterus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion chrysopterus"
"Amphiprion_clarkii","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion clarkii"
"Amphiprion_ephippium","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion ephippium"
"Amphiprion_frenatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion frenatus"
"Amphiprion_fuscocaudatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion fuscocaudatus"
"Amphiprion_latezonatus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion latezonatus"
"Amphiprion_leucokranos","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion leucokranos"
"Amphiprion_mccullochi","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion mccullochi"
"Amphiprion_melanopus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion melanopus"
"Amphiprion_nigripes","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion nigripes"
"Amphiprion_ocellaris","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris"
"Amphiprion_percula","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion percula"
"Amphiprion_perideraion","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion perideraion"
"Amphiprion_rubrocinctus","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion rubrocinctus"
"Amphiprion_sandaracinos","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amphiprion","Amphiprion sandaracinos"
"Anampses_caeruleopunctatus","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses caeruleopunctatus"
"Anampses_cuvier","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses cuvier"
"Anampses_elegans","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses elegans"
"Anampses_femininus","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses femininus"
"Anampses_geographicus","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses geographicus"
"Anampses_lennardi","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses lennardi"
"Anampses_lineatus","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses lineatus"
"Anampses_melanurus","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses melanurus"
"Anampses_meleagrides","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses meleagrides"
"Anampses_neoguinaicus","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses neoguinaicus"
"Anampses_twistii","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses","Anampses twistii"
"Anarrhichthys_ocellatus","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","Anarrhichthys ocellatus"
"Anisotremus_caesius","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","Anisotremus caesius"
"Anisotremus_davidsonii","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","Anisotremus davidsonii"
"Anisotremus_interruptus","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","Anisotremus interruptus"
"Anisotremus_scapularis","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","Anisotremus scapularis"
"Anisotremus_surinamensis","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","Anisotremus surinamensis"
"Anisotremus_taeniatus","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","Anisotremus taeniatus"
"Anisotremus_virginicus","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","Anisotremus virginicus"
"Anoplocapros_amygdaloides","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Aracanidae","Anoplocapros","Anoplocapros amygdaloides"
"Anoplocapros_inermis","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Aracanidae","Anoplocapros","Anoplocapros inermis"
"Anoplocapros_lenticularis","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Aracanidae","Anoplocapros","Anoplocapros lenticularis"
"Anyperodon_leucogrammicus","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Anyperodon","Anyperodon leucogrammicus"
"Aphareus_furca","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Aphareus","Aphareus furca"
"Aphareus_rutilans","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Aphareus","Aphareus rutilans"
"Aploactisoma_milesii","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Aploactinidae","Aploactisoma","Aploactisoma milesii"
"Aplodactylus_arctidens","Animalia","Chordata","Actinopterygii","Perciformes","Aplodactylidae","Aplodactylus","Aplodactylus arctidens"
"Aplodactylus_etheridgii","Animalia","Chordata","Actinopterygii","Perciformes","Aplodactylidae","Aplodactylus","Aplodactylus etheridgii"
"Aplodactylus_lophodon","Animalia","Chordata","Actinopterygii","Perciformes","Aplodactylidae","Aplodactylus","Aplodactylus lophodon"
"Aplodactylus_westralis","Animalia","Chordata","Actinopterygii","Perciformes","Aplodactylidae","Aplodactylus","Aplodactylus westralis"
"Apogon_atradorsatus","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon atradorsatus"
"Apogon_atricaudus","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon atricaudus"
"Apogon_binotatus","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon binotatus"
"Apogon_dovii","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon dovii"
"Apogon_imberbis","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon imberbis"
"Apogon_lachneri","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon lachneri"
