"sp_worms","name_worms","mayo_campgn","fisheyes_campgn","esthe_mayo"
"Alphestes_immaculatus","Alphestes_immaculatus_A_1",0,0,NA
"Altrichthys_azurelineatus","Altrichthys_azurelineatus_A_2",0,0,NA
"Altrichthys_azurelineatus","Altrichthys_azurelineatus_A_1",0,0,NA
"Altrichthys_curatus","Altrichthys_curatus_A_2",0,0,NA
"Altrichthys_curatus","Altrichthys_curatus_A_1",0,0,NA
"Aluterus_scriptus","Aluterus_scriptus_A_2",0,0,NA
"Aluterus_scriptus","Aluterus_scriptus_A_1",0,0,NA
"Amanses_scopas","Amanses_scopas_A_2",0,0,NA
"Amanses_scopas","Amanses_scopas_A_1",0,0,NA
"Ambassis_jacksoniensis","Ambassis_jacksoniensis_A_2",0,0,NA
"Ambassis_jacksoniensis","Ambassis_jacksoniensis_A_1",0,0,NA
"Amblycirrhitus_bimacula","Amblycirrhitus_bimacula_A_2",0,0,NA
"Amblycirrhitus_bimacula","Amblycirrhitus_bimacula_A_1",0,0,NA
"Amblycirrhitus_earnshawi","Amblycirrhitus_earnshawi_A_1",0,0,NA
"Amblycirrhitus_earnshawi","Amblycirrhitus_earnshawi_A_2",0,0,NA
"Amblycirrhitus_pinos","Amblycirrhitus_pinos_A_2",0,0,NA
"Amblycirrhitus_pinos","Amblycirrhitus_pinos_A_1",0,0,NA
"Amblyeleotris_fasciata","Amblyeleotris_fasciata_A_1",0,0,NA
"Amblyeleotris_guttata","Amblyeleotris_guttata_A_2",0,0,NA
"Amblyeleotris_guttata","Amblyeleotris_guttata_A_3",0,0,NA
"Amblyeleotris_guttata","Amblyeleotris_guttata_A_1",0,0,NA
"Amblyeleotris_gymnocephala","Amblyeleotris_gymnocephala_A_1",0,0,NA
"Amblyeleotris_gymnocephala","Amblyeleotris_gymnocephala_A_2",0,0,NA
"Amblyeleotris_japonica","Amblyeleotris_japonica_A_2",0,0,NA
"Amblyeleotris_japonica","Amblyeleotris_japonica_A_1",0,0,NA
"Amblyeleotris_periophthalma","Amblyeleotris_periophthalma_A_1",0,0,NA
"Amblyeleotris_periophthalma","Amblyeleotris_periophthalma_A_3",0,0,NA
"Amblyeleotris_periophthalma","Amblyeleotris_periophthalma_A_2",0,0,NA
"Amblyeleotris_steinitzi","Amblyeleotris_steinitzi_A_1",0,0,NA
"Amblyeleotris_steinitzi","Amblyeleotris_steinitzi_A_2",0,1,NA
"Amblyeleotris_sungami","Amblyeleotris_sungami_A_2",0,0,NA
"Amblyeleotris_sungami","Amblyeleotris_sungami_A_1",0,0,NA
"Amblyeleotris_wheeleri","Amblyeleotris_wheeleri_A_1",0,0,NA
"Amblyeleotris_wheeleri","Amblyeleotris_wheeleri_A_2",0,0,NA
"Amblyglyphidodon_aureus","Amblyglyphidodon_aureus_J_1",0,0,NA
"Amblyglyphidodon_aureus","Amblyglyphidodon_aureus_A_2",0,1,NA
"Amblyglyphidodon_aureus","Amblyglyphidodon_aureus_A_1",0,0,NA
"Amblyglyphidodon_batunai","Amblyglyphidodon_batunai_A_1",0,0,NA
"Amblyglyphidodon_batunai","Amblyglyphidodon_batunai_A_2",0,0,NA
"Amblyglyphidodon_batunai","Amblyglyphidodon_batunai_A_3",0,0,NA
"Amblyglyphidodon_curacao","Amblyglyphidodon_curacao_A_2",0,0,NA
"Amblyglyphidodon_curacao","Amblyglyphidodon_curacao_A_1",0,0,NA
"Amblyglyphidodon_curacao","Amblyglyphidodon_curacao_J_1",0,0,NA
"Amblyglyphidodon_flavilatus","Amblyglyphidodon_flavilatus_A_2",0,0,NA
"Amblyglyphidodon_flavilatus","Amblyglyphidodon_flavilatus_A_1",0,0,NA
"Amblyglyphidodon_indicus","Amblyglyphidodon_indicus_A_1",0,0,NA
"Amblyglyphidodon_indicus","Amblyglyphidodon_indicus_A_2",0,0,NA
"Amblyglyphidodon_indicus","Amblyglyphidodon_indicus_J_1",0,0,NA
"Amblyglyphidodon_leucogaster","Amblyglyphidodon_leucogaster_A_2",0,1,NA
"Amblyglyphidodon_leucogaster","Amblyglyphidodon_leucogaster_A_1",0,0,NA
"Amblyglyphidodon_melanopterus","Amblyglyphidodon_melanopterus_A_1",0,0,NA
"Amblyglyphidodon_orbicularis","Amblyglyphidodon_orbicularis_A_2",0,0,NA
"Amblyglyphidodon_orbicularis","Amblyglyphidodon_orbicularis_A_1",0,0,NA
"Amblyglyphidodon_orbicularis","Amblyglyphidodon_orbicularis_J_1",0,0,NA
"Amblyglyphidodon_ternatensis","Amblyglyphidodon_ternatensis_A_2",0,1,NA
"Amblyglyphidodon_ternatensis","Amblyglyphidodon_ternatensis_J_1",0,1,NA
"Amblyglyphidodon_ternatensis","Amblyglyphidodon_ternatensis_A_1",0,0,NA
"Amblygobius_buanensis","Amblygobius_buanensis_A_1",0,0,NA
"Amblygobius_buanensis","Amblygobius_buanensis_A_2",0,0,NA
"Amblygobius_bynoensis","Amblygobius_bynoensis_A_2",0,0,NA
"Amblygobius_bynoensis","Amblygobius_bynoensis_A_1",0,0,NA
"Amblygobius_decussatus","Amblygobius_decussatus_A_2",0,1,NA
"Amblygobius_decussatus","Amblygobius_decussatus_A_1",0,0,NA
"Amblygobius_nocturnus","Amblygobius_nocturnus_A_1",0,0,NA
"Amblygobius_nocturnus","Amblygobius_nocturnus_A_2",0,0,NA
"Amblygobius_phalaena","Amblygobius_phalaena_J_1",0,0,NA
"Amblygobius_phalaena","Amblygobius_phalaena_A_3",0,0,NA
"Amblygobius_phalaena","Amblygobius_phalaena_A_2",0,0,NA
"Amblygobius_phalaena","Amblygobius_phalaena_A_1",0,0,NA
"Amblyrhynchotes_honckenii","Amblyrhynchotes_honckenii_A_1",0,0,NA
"Amblyrhynchotes_honckenii","Amblyrhynchotes_honckenii_A_2",0,0,NA
"Ammodytes_tobianus","Ammodytes_tobianus_A_1",0,0,NA
"Ammodytes_tobianus","Ammodytes_tobianus_A_2",0,0,NA
"Amphichaetodon_howensis","Amphichaetodon_howensis_A_1",0,0,NA
