acc_sci_name;kingdom;phylum;class;order;family;genus;species;rls;iucn;included
Iniistius_umbrilatus;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Iniistius;Iniistius umbrilatus;0;0;0
Inimicus_caledonicus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Synanceiidae;Inimicus;Inimicus caledonicus;1;0;1
Inimicus_didactylus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Synanceiidae;Inimicus;Inimicus didactylus;0;0;0
Inimicus_filamentosus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Synanceiidae;Inimicus;Inimicus filamentosus;1;0;1
Isocirrhitus_sexfasciatus;Animalia;Chordata;Actinopterygii;Perciformes;Cirrhitidae;Isocirrhitus;Isocirrhitus sexfasciatus;1;0;1
Isogomphodon_oxyrhynchus;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Isogomphodon;Isogomphodon oxyrhynchus;0;1;0
Istiblennius_edentulus;Animalia;Chordata;Actinopterygii;Perciformes;Blenniidae;Istiblennius;Istiblennius edentulus;0;0;0
Istiblennius_lineatus;Animalia;Chordata;Actinopterygii;Perciformes;Blenniidae;Istiblennius;Istiblennius lineatus;0;0;0
Istigobius_campbelli;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Istigobius;Istigobius campbelli;1;0;1
Istigobius_decoratus;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Istigobius;Istigobius decoratus;1;0;1
Istigobius_goldmanni;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Istigobius;Istigobius goldmanni;1;0;1
Istigobius_hoesei;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Istigobius;Istigobius hoesei;1;0;1
Istigobius_nigroocellatus;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Istigobius;Istigobius nigroocellatus;1;0;1
Istigobius_ornatus;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Istigobius;Istigobius ornatus;0;0;0
Istigobius_rigilius;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Istigobius;Istigobius rigilius;1;0;1
Itycirrhitus_wilhelmi;Animalia;Chordata;Actinopterygii;Perciformes;Cirrhitidae;Itycirrhitus;Itycirrhitus wilhelmi;1;0;1
Jenkinsia_lamprotaenia;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Jenkinsia;Jenkinsia lamprotaenia;1;0;1
Johnrandallia_nigrirostris;Animalia;Chordata;Actinopterygii;Perciformes;Chaetodontidae;Johnrandallia;Johnrandallia nigrirostris;1;0;1
Jordania_zonope;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Cottidae;Jordania;Jordania zonope;1;0;1
Karalepis_stewarti;Animalia;Chordata;Actinopterygii;Perciformes;Tripterygiidae;Karalepis;Karalepis stewarti;1;0;1
Katsuwonus_pelamis;Animalia;Chordata;Actinopterygii;Perciformes;Scombridae;Katsuwonus;Katsuwonus pelamis;0;0;0
Koumansetta_hectori;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Koumansetta;Koumansetta hectori;1;0;1
Koumansetta_rainfordi;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Koumansetta;Koumansetta rainfordi;1;0;1
Kuhlia_mugil;Animalia;Chordata;Actinopterygii;Perciformes;Kuhliidae;Kuhlia;Kuhlia mugil;1;0;1
Kyphosus_analogus;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus analogus;1;0;1
Kyphosus_azureus;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus azureus;1;0;1
Kyphosus_bigibbus;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus bigibbus;1;0;1
Kyphosus_cinerascens;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus cinerascens;1;0;1
Kyphosus_cornelii;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus cornelii;1;0;1
Kyphosus_elegans;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus elegans;1;0;1
Kyphosus_hawaiiensis;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus hawaiiensis;0;0;0
Kyphosus_incisor;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus incisor;1;0;1
Kyphosus_ocyurus;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus ocyurus;1;0;1
Kyphosus_pacificus;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus pacificus;0;0;0
Kyphosus_sandwicensis;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus sandwicensis;0;0;0
Kyphosus_sectatrix;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus sectatrix;1;0;1
Kyphosus_sydneyanus;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus sydneyanus;1;0;1
Kyphosus_vaigiensis;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis;1;0;1
Labracinus_cyclophthalmus;Animalia;Chordata;Actinopterygii;Perciformes;Pseudochromidae;Labracinus;Labracinus cyclophthalmus;1;0;1
Labracinus_lineatus;Animalia;Chordata;Actinopterygii;Perciformes;Pseudochromidae;Labracinus;Labracinus lineatus;1;0;1
Labracoglossa_nitida;Animalia;Chordata;Actinopterygii;Perciformes;Kyphosidae;Labracoglossa;Labracoglossa nitida;1;0;1
Labrichthys_unilineatus;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labrichthys;Labrichthys unilineatus;1;0;1
Labrisomus_cricota;Animalia;Chordata;Actinopterygii;Perciformes;Labrisomidae;Labrisomus;Labrisomus cricota;1;0;1
Labrisomus_jenkinsi;Animalia;Chordata;Actinopterygii;Perciformes;Labrisomidae;Labrisomus;Labrisomus jenkinsi;0;1;1
Labrisomus_multiporosus;Animalia;Chordata;Actinopterygii;Perciformes;Labrisomidae;Labrisomus;Labrisomus multiporosus;1;0;1
Labrisomus_nuchipinnis;Animalia;Chordata;Actinopterygii;Perciformes;Labrisomidae;Labrisomus;Labrisomus nuchipinnis;1;0;1
Labrisomus_socorroensis;Animalia;Chordata;Actinopterygii;Perciformes;Labrisomidae;Labrisomus;Labrisomus socorroensis;0;1;1
Labroides_bicolor;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labroides;Labroides bicolor;1;0;1
Labroides_dimidiatus;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labroides;Labroides dimidiatus;1;0;1
Labroides_pectoralis;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labroides;Labroides pectoralis;1;0;1
Labroides_phthirophagus;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labroides;Labroides phthirophagus;1;0;1
Labroides_rubrolabiatus;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labroides;Labroides rubrolabiatus;1;0;1
Labropsis_alleni;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labropsis;Labropsis alleni;1;0;1
Labropsis_australis;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labropsis;Labropsis australis;1;0;1
Labropsis_manabei;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labropsis;Labropsis manabei;1;0;1
Labropsis_micronesica;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labropsis;Labropsis micronesica;1;0;1
Labropsis_xanthonota;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labropsis;Labropsis xanthonota;1;0;1
Labrus_bergylta;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labrus;Labrus bergylta;1;0;1
Labrus_merula;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labrus;Labrus merula;1;0;1
Labrus_mixtus;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labrus;Labrus mixtus;1;0;1
Labrus_viridis;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labrus;Labrus viridis;1;1;1
Lachnolaimus_maximus;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Lachnolaimus;Lachnolaimus maximus;1;1;1
