"","name","CL_cie_d_mean","CL_cie_d_sd","CL_hullarea","SH_n.core.cell_mean","SH_n.core.cell_sd","SH_perimeter_mean","SH_perimeter_sd","SH_perim.area.ratio_mean","SH_perim.area.ratio_sd","SH_core.area.index_mean","SH_core.area.index_sd"
"1028","Chriolepis_dialepta_F_1",17.9963122233187,10.7918345860378,178.362782297114,1999.33333333333,1239.58551540424,4127.77777777778,1894.78453773627,0.827234340382394,0.11737475945444,0.391595634817022,0.0745200038291231
"1029","Chriolepis_dialepta_F_2",17.8327845613759,9.87012974227542,509.793379184473,1263.44444444444,1811.55334665523,4518.88888888889,4173.87698801859,1.35750847402015,0.587484202980207,0.196949168575715,0.103998245523499
"1030","Chriolepis_dialepta_M_1",13.1251446184637,8.83025067627552,146.021927252373,2097.44444444444,2037.25459326462,3910,2877.14042062601,0.920623768385579,0.291185335404328,0.350590408320699,0.142634285773066
"1031","Chromis_abrupta_A_2",19.4250917366969,10.5076849537827,676.497561887575,1554.55555555556,1611.09715032265,7453.33333333333,6270.0629183446,1.60306868006731,0.63722808301646,0.175705637990544,0.132005936544842
"1032","Chromis_abrupta_J_1",12.9105721827629,8.6968966627721,124.086537412212,962.555555555556,1028.47837983002,10020.8888888889,7516.07631088929,1.88432643039712,0.611686167785824,0.11518422542387,0.112012205255093
"1033","Chromis_acares_A_1",25.2368296578091,15.8959387416303,236.77764159195,1068.88888888889,903.399889922016,7496,4137.43350399738,1.48546966978126,0.403686266311192,0.182304066534472,0.169065309167845
"1034","Chromis_acares_A_2",24.4103369923375,16.3613939347007,288.436808164619,1720.77777777778,1748.98761986597,7190.22222222222,3893.18127556943,1.38008180193134,0.489772056924423,0.234559936391376,0.192767269680566
"1035","Chromis_agilis_A_1",19.1029849477673,9.64151857027356,373.064363803784,2942.77777777778,2197.82931421993,5751.55555555556,4292.16259917746,0.827822795898616,0.212476904416617,0.41417716494667,0.132953294090602
"1036","Chromis_agilis_A_2",26.3212701144936,14.803267769009,1145.60129738837,2116,2324.60717111515,7466.44444444444,5741.84924721799,1.27120172134978,0.438584514262135,0.27478384901744,0.177101057428107
"1037","Chromis_agilis_J_1",22.0178439766884,14.6779299159729,304.642987688887,7005.77777777778,6448.83351424461,4137.33333333333,2367.32232701844,0.578953771215965,0.322530864411687,0.56419040742113,0.205132248236988
"1038","Chromis_agilis_J_2",20.0709870340625,13.240336913502,328.373831437867,2964.33333333333,3515.96803881947,8352.44444444445,4461.33396841996,1.22149633976138,0.523170510107321,0.287647026778869,0.206807424114625
"1039","Chromis_alpha_A_1",35.1307595825829,24.9773891613288,480.341671048476,2389.55555555556,2537.80579985502,6240.66666666667,5091.97839744043,1.04005504956199,0.267071511812902,0.286440946555299,0.150171285124273
"1040","Chromis_alta_A_1",8.3838336857344,4.15896480154732,97.4282308664654,2591,1445.62512429744,7804.44444444444,4937.47402806109,0.957948064632157,0.206580061242809,0.338121585204202,0.109760150766658
