"sp_name","esthe_score","esthe_score_mean"
"Centrogenys_vaigiensis",1497.6108,1497.6108
"Centrolabrus_exoletus",1409.1624,1321.7336
"Centrolabrus_melanocercus",1481.5342,1448.94275
"Centropogon_australis",1439.4335,1439.4335
"Centropyge_acanthops",1715.0603,1715.0603
"Centropyge_argi",1420.1755,1420.1755
"Centropyge_bicolor",1710.7822,1710.7822
"Centropyge_bispinosa",1656.6648,1656.6648
"Centropyge_eibli",1642.0659,1642.0659
"Centropyge_ferrugata",1474.9409,1474.9409
"Centropyge_fisheri",1689.7834,1557.87815
"Centropyge_flavissima",1720.4524,1686.2227
"Centropyge_heraldi",1527.7812,1527.7812
"Centropyge_hotumatua",1795.9922,1673.3971
"Centropyge_joculator",1585.8121,1585.8121
"Centropyge_loriculus",1672.7839,1672.7839
"Centropyge_multispinis",1643.6027,1493.8458614483
"Centropyge_nox",1386.7064,1362.3912
"Centropyge_tibicen",1533.9727,1497.09835
"Cephalopholis_argus",1578.874,1490.8379
"Cephalopholis_boenak",1453.3904,1344.86506666667
"Cephalopholis_cruentata",1507.492,1507.492
"Cephalopholis_cyanostigma",1555.9832,1555.9832
"Cephalopholis_formosa",1762.4553,1762.4553
"Cephalopholis_fulva",1487.4796,1453.31365
"Cephalopholis_hemistiktos",1498.3323,1498.3323
"Cephalopholis_leopardus",1545.2638,1489.67715
"Cephalopholis_microprion",1481.9908,1412.13556666667
"Cephalopholis_miniata",1755.4753,1549.03625
"Cephalopholis_panamensis",1564.0522,1467.6244
"Cephalopholis_sexmaculata",1570.0137,1570.0137
"Cephalopholis_sonnerati",1697.117,1577.981
"Cephalopholis_spiloparaea",1336.764,1336.764
"Cephalopholis_urodeta",1512.2053,1466.38865
"Cetoscarus_bicolor",1664.9275,1543.94493333333
"Chaenopsis_schmitti",1469.2949,1469.2949
"Chaetodermis_penicilligerus",1712.0731,1712.0731
"Chaetodipterus_faber",1614.477,1601.58505
"Chaetodipterus_zonatus",1521.731,1521.731
"Chaetodon_adiergastos",1681.138,1681.138
"Chaetodon_andamanensis",1637.4099,1637.4099
"Chaetodon_argentatus",1647.0908,1647.0908
"Chaetodon_assarius",1574.7458,1559.47655
"Chaetodon_aureofasciatus",1728.8057,1723.74815
"Chaetodon_auriga",1716.7854,1677.23547178626
"Chaetodon_auripes",1722.1995,1722.1995
"Chaetodon_austriacus",1737.543,1737.543
"Chaetodon_baronessa",1763.4033,1763.4033
"Chaetodon_bennetti",1771.9229,1771.9229
"Chaetodon_capistratus",1735.5778,1725.2463
"Chaetodon_citrinellus",1659.8204,1659.8204
"Chaetodon_collare",1753.8171,1753.8171
"Chaetodon_decussatus",1605.9998,1602.85365
"Chaetodon_dolosus",1622.1289,1622.1289
"Chaetodon_ephippium",1768.1365,1730.5805
"Chaetodon_falcula",1692.4907,1656.28638256318
"Chaetodon_fasciatus",1857.483,1831.6413
"Chaetodon_flavirostris",1736.369,1736.369
"Chaetodon_guentheri",1678.8785,1678.8785
"Chaetodon_guttatissimus",1706.393,1644.94602600491
"Chaetodon_humeralis",1633.294,1633.294
"Chaetodon_interruptus",1677.485,1661.55355
"Chaetodon_kleinii",1694.4478,1581.59142364043
"Chaetodon_lineolatus",1661.1298,1661.1298
"Chaetodon_litus",1645.3623,1620.55595
"Chaetodon_lunula",1881.2606,1714.33613589955
"Chaetodon_lunulatus",1799.5138,1749.5069
"Chaetodon_madagaskariensis",1688.8574,1688.8574
"Chaetodon_marleyi",1791.6772,1791.6772
"Chaetodon_melannotus",1756.1564,1688.57937840036
"Chaetodon_mertensii",1679.387,1679.387
"Chaetodon_meyeri",1862.2549,1780.46326780667
"Chaetodon_miliaris",1661.714,1661.714
"Chaetodon_multicinctus",1618.663,1618.663
"Chaetodon_ocellatus",1668.8458,1645.25986666667
"Chaetodon_ocellicaudus",1841.553,1841.553
"Chaetodon_octofasciatus",1698.6509,1672.04495
"Chaetodon_ornatissimus",1854.2651,1854.2651
"Chaetodon_oxycephalus",1600.3594,1600.3594
"Chaetodon_paucifasciatus",1754.3925,1736.17025
"Chaetodon_pelewensis",1770.4806,1738.01483333333
"Chaetodon_plebeius",1770.2444,1770.2444
"Chaetodon_punctatofasciatus",1728.087,1681.21293333333
"Chaetodon_quadrimaculatus",1709.3064,1709.3064
"Chaetodon_rafflesii",1768.842,1768.842
"Chaetodon_rainfordi",1706.4524,1706.4524
"Chaetodon_reticulatus",1767.9915,1767.9915
"Chaetodon_sedentarius",1556.9873,1556.9873
"Chaetodon_semeion",1637.6244,1637.6244
"Chaetodon_semilarvatus",1779.7433,1779.7433
"Chaetodon_speculum",1672.1042,1672.1042
"Chaetodon_striatus",1765.4736,1721.8804
"Chaetodon_triangulum",1686.1178,1653.1534
"Chaetodon_trichrous",1604.5986,1604.5986
"Chaetodon_tricinctus",1773.0919,1773.0919
"Chaetodon_trifascialis",1671.0228,1613.8306823729
"Chaetodon_trifasciatus",1796.6799,1708.98101189876
"Chaetodon_ulietensis",1703.4718,1674.05305
"Chaetodon_unimaculatus",1625.7537,1608.854
"Chaetodon_vagabundus",1695.0332,1630.67001174568
"Chaetodon_xanthocephalus",1696.7474,1687.6553
"Chaetodon_xanthurus",1715.8457,1715.8457
"Chaetodon_zanzibarensis",1702.4109,1702.4109
"Chaetodontoplus_conspicillatus",1731.0337,1731.0337
"Chaetodontoplus_duboulayi",1776.7236,1776.7236
"Chaetodontoplus_meredithi",1677.9272,1656.97435
"Chaetodontoplus_mesoleucus",1631.0168,1631.0168
"Chaetodontoplus_personifer",1656.415,1588.71185
"Chaetodontoplus_septentrionalis",1930.2488,1919.73273333333
"Chaetodontoplus_vanderloosi",1533.9482,1524.5186
"Champsocephalus_esox",1392.6189,1392.6189
"Chanos_chanos",1280.308,1280.308
"Cheilinus_abudjubbe",1568.2189,1526.3882
"Cheilinus_chlorourus",1456.8022,1382.85963333333
"Cheilinus_fasciatus",1575.7068,1419.29755726158
"Cheilinus_lunulatus",1498.5059,1407.4301
"Cheilinus_oxycephalus",1514.7137,1466.87245
"Cheilinus_trilobatus",1494.4083,1449.00876666667
"Cheilinus_undulatus",1590.1589,1571.3959
"Cheilio_inermis",1481.0056,1414.1191
"Cheilodactylus_ephippium",1507.282,1469.4365
"Cheilodactylus_fasciatus",1405.479,1405.479
"Cheilodactylus_francisi",1524.0918,1524.0918
"Cheilodactylus_fuscus",1455.9607,1444.48205
"Cheilodactylus_gibbosus",1584.718,1538.7121
"Cheilodactylus_nigripes",1543.6702,1538.19935
"Cheilodactylus_pixi",1431.4972,1408.57045
"Cheilodactylus_plessisi",1476.5201,1476.5201
"Cheilodactylus_rubrolabiatus",1579.3046,1579.3046
"Cheilodactylus_spectabilis",1589.1401,1522.4408
"Cheilodactylus_vestitus",1595.1548,1571.8406
"Cheilodactylus_zebra",1591.0557,1591.0557
"Cheilodactylus_zonatus",1536.7516,1536.7516
"Cheilodipterus_arabicus",1412.3525,1412.3525
"Cheilodipterus_artus",1391.5615,1330.74976666667
